risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,poziom,teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina
wysokie ryzyko,2896.240918511338,2954.745977472803,2177.338070793787,2187.640307879093,718.9028477175503,767.1056695937104,powiat,04,KUJAWSKO-POMORSKIE,0414,świecki,,
niskie ryzyko,1202.3461662231284,985.9251510369174,772.9487389947882,600.4041438480155,429.3974272283402,385.521007188902,powiat,04,KUJAWSKO-POMORSKIE,0419,żniński,,
wysokie ryzyko,846.1732398175699,1461.5752951646782,624.8855122470825,1249.211197315488,221.28772757048733,212.36409784919024,powiat,04,KUJAWSKO-POMORSKIE,0419,żniński,,
niskie ryzyko,148.91344226346237,131.24551781337507,49.6808247591151,42.13113954529677,99.23261750434726,89.1143782680783,powiat,06,LUBELSKIE,0661,Biała Podlaska,,
wysokie ryzyko,30.567783787368864,39.944274926808774,30.567783787368864,39.944274926808774,0.0,0.0,powiat,06,LUBELSKIE,0661,Biała Podlaska,,
niskie ryzyko,11.14964463154393,11.136507860809315,11.14964463154393,11.136507860809315,0.0,0.0,powiat,06,LUBELSKIE,0662,Chełm,,
niskie ryzyko,1158.8151882899188,1033.3532579265575,1101.8153361794527,975.8312569275232,56.99985211046603,57.52200099903425,powiat,06,LUBELSKIE,0663,Lublin,,
wysokie ryzyko,969.1529763926052,1887.5030480350545,961.7322158739544,1880.092158799606,7.420760518650757,7.410889235448461,powiat,06,LUBELSKIE,0663,Lublin,,
niskie ryzyko,73.59409255854221,72.27847915300458,7.412924372427723,6.541850234313207,66.18116818611449,65.73662891869138,powiat,06,LUBELSKIE,0664,Zamość,,
wysokie ryzyko,58.96270348951584,55.832787691426695,3.973328956397604,3.821824770352083,54.98937453311824,52.01096292107461,powiat,06,LUBELSKIE,0664,Zamość,,
niskie ryzyko,2039.516373912528,2062.650656309345,1487.526174473839,1510.6462582135252,551.9901994386885,552.0043980958202,powiat,06,LUBELSKIE,0601,bialski,,
wysokie ryzyko,2865.597177008165,2955.021190415718,2530.766207751122,2607.0596890338925,334.83096925704297,347.9615013818252,powiat,06,LUBELSKIE,0601,bialski,,
niskie ryzyko,1150.1757655721467,1097.226022644111,941.616277887834,898.2336136934056,208.5594876843125,198.99240895070537,powiat,06,LUBELSKIE,0602,biłgorajski,,
wysokie ryzyko,357.5495757447901,287.3597149945889,246.70772161112075,176.55268640684585,110.84185413366944,110.8070285877431,powiat,06,LUBELSKIE,0602,biłgorajski,,
niskie ryzyko,139.52765799521845,137.659584841119,87.68065631372303,88.84666371419546,51.847001681495385,48.81292112692351,powiat,06,LUBELSKIE,0603,chełmski,,
wysokie ryzyko,16.468911346852607,16.38294127175803,14.115303172600871,14.029333097506294,2.353608174251736,2.353608174251736,powiat,06,LUBELSKIE,0603,chełmski,,
niskie ryzyko,495.07018007453127,453.92888867926376,376.2578212516353,340.0025167836524,118.81235882289596,113.92637189561134,powiat,06,LUBELSKIE,0604,hrubieszowski,,
wysokie ryzyko,157.16450695804264,146.1333086120828,151.06465439727913,140.0334560513193,6.099852560763505,6.099852560763505,powiat,06,LUBELSKIE,0604,hrubieszowski,,
